Date,SPY
2/1/1993,44.40625
3/1/1993,45.1875
4/1/1993,44.03125
5/1/1993,45.21875
6/1/1993,45.0625
7/1/1993,44.84375
8/1/1993,46.5625
9/1/1993,45.9375
10/1/1993,46.84375
11/1/1993,46.34375
12/1/1993,46.59375
1/1/1994,48.21875
2/1/1994,46.8125
3/1/1994,44.59375
4/1/1994,45.09375
5/1/1994,45.8125
6/1/1994,44.46875
7/1/1994,45.90625
8/1/1994,47.65625
9/1/1994,46.171875
10/1/1994,47.484375
11/1/1994,45.59375
12/1/1994,45.5625
1/1/1995,47.09375
2/1/1995,49.015625
3/1/1995,50.109375
4/1/1995,51.59375
5/1/1995,53.640625
6/1/1995,54.40625
7/1/1995,56.15625
8/1/1995,56.40625
9/1/1995,58.484375
10/1/1995,58.3125
11/1/1995,60.90625
12/1/1995,61.484375
1/1/1996,63.671875
2/1/1996,63.875
3/1/1996,64.6875
4/1/1996,65.390625
5/1/1996,66.875
6/1/1996,67.109375
7/1/1996,64.09375
8/1/1996,65.328125
9/1/1996,68.625
10/1/1996,70.84375
11/1/1996,76.015625
12/1/1996,73.84375
1/1/1997,78.40625
2/1/1997,79.15625
3/1/1997,75.375
4/1/1997,80.09375
5/1/1997,85.15625
6/1/1997,88.3125
7/1/1997,95.3125
8/1/1997,90.375
9/1/1997,94.375
10/1/1997,92.0625
11/1/1997,95.625
12/1/1997,97.0625
1/1/1998,98.3125
2/1/1998,105.125
3/1/1998,109.9375
4/1/1998,111.34375
5/1/1998,109.03125
6/1/1998,113.3125
7/1/1998,111.78125
8/1/1998,96
9/1/1998,101.75
10/1/1998,110
11/1/1998,116.125
12/1/1998,123.3125
1/1/1999,127.65625
2/1/1999,123.5625
3/1/1999,128.375
4/1/1999,133.25
5/1/1999,130.203125
6/1/1999,137
7/1/1999,132.75
8/1/1999,132.0625
9/1/1999,128.75
10/1/1999,137
11/1/1999,139.28125
12/1/1999,146.875
1/1/2000,139.5625
2/1/2000,137.4375
3/1/2000,150.375
4/1/2000,145.09375
5/1/2000,142.8125
6/1/2000,145.28125
7/1/2000,143
8/1/2000,152.34375
9/1/2000,143.625
10/1/2000,142.953125
11/1/2000,132.28125
12/1/2000,131.1875
1/1/2001,137.020004
2/1/2001,123.949997
3/1/2001,116.690002
4/1/2001,126.660004
5/1/2001,125.949997
6/1/2001,122.599998
7/1/2001,121.349998
8/1/2001,114.150002
9/1/2001,104.440002
10/1/2001,105.800003
11/1/2001,114.050003
12/1/2001,114.300003
1/1/2002,113.18
2/1/2002,111.150002
3/1/2002,114.519997
4/1/2002,107.860001
5/1/2002,107.220001
6/1/2002,98.959999
7/1/2002,91.160004
8/1/2002,91.779999
9/1/2002,81.790001
10/1/2002,88.519997
11/1/2002,93.980003
12/1/2002,88.230003
1/1/2003,86.059998
2/1/2003,84.900002
3/1/2003,84.739998
4/1/2003,91.910004
5/1/2003,96.949997
6/1/2003,97.629997
7/1/2003,99.389999
8/1/2003,101.440002
9/1/2003,99.949997
10/1/2003,105.300003
11/1/2003,106.449997
12/1/2003,111.279999
1/1/2004,113.480003
2/1/2004,115.019997
3/1/2004,113.099998
4/1/2004,110.959999
5/1/2004,112.860001
6/1/2004,114.529999
7/1/2004,110.839996
8/1/2004,111.110001
9/1/2004,111.760002
10/1/2004,113.199997
11/1/2004,117.889999
12/1/2004,120.870003
1/1/2005,118.160004
2/1/2005,120.629997
3/1/2005,117.959999
4/1/2005,115.75
5/1/2005,119.480003
6/1/2005,119.18
7/1/2005,123.739998
8/1/2005,122.580002
9/1/2005,123.040001
10/1/2005,120.129997
11/1/2005,125.410004
12/1/2005,124.510002
1/1/2006,127.5
2/1/2006,128.229996
3/1/2006,129.830002
4/1/2006,131.470001
5/1/2006,127.510002
6/1/2006,127.279999
7/1/2006,127.849998
8/1/2006,130.639999
9/1/2006,133.580002
10/1/2006,137.789993
11/1/2006,140.529999
12/1/2006,141.619995
1/1/2007,143.75
2/1/2007,140.929993
3/1/2007,142
4/1/2007,148.289993
5/1/2007,153.320007
6/1/2007,150.429993
7/1/2007,145.720001
8/1/2007,147.589996
9/1/2007,152.580002
10/1/2007,154.649994
11/1/2007,148.660004
12/1/2007,146.210007
1/1/2008,137.369995
2/1/2008,133.820007
3/1/2008,131.970001
4/1/2008,138.259995
5/1/2008,140.350006
6/1/2008,127.980003
7/1/2008,126.830002
8/1/2008,128.789993
9/1/2008,115.989998
10/1/2008,96.830002
11/1/2008,90.089996
12/1/2008,90.239998
1/1/2009,82.830002
2/1/2009,73.93
3/1/2009,79.519997
4/1/2009,87.419998
5/1/2009,92.529999
6/1/2009,91.949997
7/1/2009,98.809998
8/1/2009,102.459999
9/1/2009,105.589996
10/1/2009,103.559998
11/1/2009,109.940002
12/1/2009,111.440002
1/1/2010,107.389999
2/1/2010,110.739998
3/1/2010,117
4/1/2010,118.809998
5/1/2010,109.370003
6/1/2010,103.220001
7/1/2010,110.269997
8/1/2010,105.309998
9/1/2010,114.129997
10/1/2010,118.489998
11/1/2010,118.489998
12/1/2010,125.75
1/1/2011,128.679993
2/1/2011,133.149994
3/1/2011,132.589996
4/1/2011,136.429993
5/1/2011,134.899994
6/1/2011,131.970001
7/1/2011,129.330002
8/1/2011,122.220001
9/1/2011,113.150002
10/1/2011,125.5
11/1/2011,124.989998
12/1/2011,125.5
1/1/2012,131.320007
2/1/2012,137.020004
3/1/2012,140.809998
4/1/2012,139.869995
5/1/2012,131.470001
6/1/2012,136.100006
7/1/2012,137.710007
8/1/2012,141.160004
9/1/2012,143.970001
10/1/2012,141.350006
11/1/2012,142.149994
12/1/2012,142.410004
1/1/2013,149.699997
2/1/2013,151.610001
3/1/2013,156.669998
