DATE,WFRBST01134
1989-07-01,23.6
1989-10-01,23.6
1990-01-01,23.5
1990-04-01,23.7
1990-07-01,23.2
1990-10-01,23.5
1991-01-01,23.8
1991-04-01,23.8
1991-07-01,23.9
1991-10-01,24.4
1992-01-01,24.2
1992-04-01,24.2
1992-07-01,24.1
1992-10-01,24.6
1993-01-01,25.2
1993-04-01,25.4
1993-07-01,25.7
1993-10-01,26.1
1994-01-01,26.4
1994-04-01,26.7
1994-07-01,27.0
1994-10-01,27.4
1995-01-01,27.9
1995-04-01,28.0
1995-07-01,28.3
1995-10-01,28.5
1996-01-01,28.4
1996-04-01,28.4
1996-07-01,28.2
1996-10-01,28.4
1997-01-01,28.0
1997-04-01,28.3
1997-07-01,28.4
1997-10-01,28.3
1998-01-01,28.6
1998-04-01,28.6
1998-07-01,27.9
1998-10-01,28.1
1999-01-01,27.9
1999-04-01,28.1
1999-07-01,27.8
1999-10-01,28.3
2000-01-01,28.6
2000-04-01,28.2
2000-07-01,27.8
2000-10-01,27.2
2001-01-01,26.6
2001-04-01,26.6
2001-07-01,25.9
2001-10-01,26.0
2002-01-01,26.1
2002-04-01,26.1
2002-07-01,25.4
2002-10-01,25.1
2003-01-01,25.0
2003-04-01,25.8
2003-07-01,26.1
2003-10-01,26.5
2004-01-01,27.2
2004-04-01,27.1
2004-07-01,27.4
2004-10-01,27.7
2005-01-01,27.7
2005-04-01,28.0
2005-07-01,28.1
2005-10-01,28.2
2006-01-01,28.8
2006-04-01,28.7
2006-07-01,28.8
2006-10-01,29.0
2007-01-01,29.4
2007-04-01,29.4
2007-07-01,29.5
2007-10-01,29.2
2008-01-01,29.1
2008-04-01,28.9
2008-07-01,28.6
2008-10-01,27.1
2009-01-01,26.9
2009-04-01,27.2
2009-07-01,28.1
2009-10-01,27.5
2010-01-01,28.2
2010-04-01,28.1
2010-07-01,28.4
2010-10-01,28.4
2011-01-01,29.1
2011-04-01,29.3
2011-07-01,29.0
2011-10-01,28.8
2012-01-01,29.4
2012-04-01,29.5
2012-07-01,29.6
2012-10-01,29.7
2013-01-01,30.0
2013-04-01,30.0
2013-07-01,29.9
2013-10-01,29.9
2014-01-01,30.4
2014-04-01,30.5
2014-07-01,30.6
2014-10-01,30.7
2015-01-01,30.9
2015-04-01,31.1
2015-07-01,30.9
2015-10-01,30.8
2016-01-01,31.0
2016-04-01,31.2
2016-07-01,31.1
2016-10-01,30.8
2017-01-01,31.0
2017-04-01,30.9
2017-07-01,30.9
2017-10-01,31.0
2018-01-01,31.0
2018-04-01,30.9
2018-07-01,31.0
2018-10-01,30.3
2019-01-01,30.7
2019-04-01,30.7
2019-07-01,30.5
2019-10-01,30.8
2020-01-01,29.7
2020-04-01,30.4
2020-07-01,30.8
2020-10-01,31.6
2021-01-01,32.0
2021-04-01,32.3
