Date,Open,High,Low,Close,Adj Close,Volume
1987-01-01,9.970000,10.050000,9.970000,10.000000,1.620068,0
1987-02-01,9.980000,10.000000,9.930000,9.990000,1.629682,0
1987-03-01,9.990000,10.000000,9.860000,9.860000,1.618899,0
1987-04-01,9.840000,9.850000,9.420000,9.470000,1.565226,0
1987-05-01,9.440000,9.440000,9.220000,9.360000,1.559455,0
1987-06-01,9.390000,9.490000,9.300000,9.420000,1.581592,0
1987-07-01,9.430000,9.470000,9.340000,9.340000,1.580379,0
1987-08-01,9.280000,9.360000,9.200000,9.200000,1.568297,0
1987-09-01,9.200000,9.200000,8.920000,8.920000,1.531907,0
1987-10-01,8.930000,9.170000,8.760000,9.160000,1.586080,0
1987-11-01,9.130000,9.240000,9.130000,9.160000,1.598629,0
1987-12-01,9.150000,9.220000,9.040000,9.200000,1.616832,0
1988-01-01,9.230000,9.450000,9.160000,9.450000,1.680660,0
1988-02-01,9.470000,9.520000,9.440000,9.500000,1.695820,0
1988-03-01,9.500000,9.510000,9.310000,9.320000,1.674629,0
1988-04-01,9.280000,9.330000,9.200000,9.200000,1.665772,0
1988-05-01,9.180000,9.190000,9.050000,9.050000,1.650902,0
1988-06-01,9.110000,9.270000,9.110000,9.220000,1.693399,0
1988-07-01,9.230000,9.230000,9.090000,9.110000,1.686476,0
1988-08-01,9.120000,9.170000,9.010000,9.060000,1.689473,0
1988-09-01,9.060000,9.200000,9.060000,9.190000,1.726335,0
1988-10-01,9.200000,9.260000,9.190000,9.260000,1.752436,0
1988-11-01,9.270000,9.270000,9.070000,9.110000,1.736111,0
1988-12-01,9.120000,9.130000,9.030000,9.050000,1.738151,0
1989-01-01,9.020000,9.130000,9.000000,9.100000,1.767451,0
1989-02-01,9.100000,9.120000,8.950000,8.970000,1.747808,0
1989-03-01,8.960000,9.000000,8.860000,8.930000,1.754441,0
1989-04-01,8.970000,9.040000,8.930000,9.040000,1.788628,0
1989-05-01,9.000000,9.200000,8.980000,9.200000,1.833838,0
1989-06-01,9.200000,9.400000,9.200000,9.400000,1.887989,0
1989-07-01,9.400000,9.540000,9.400000,9.540000,1.930336,0
1989-08-01,9.580000,9.580000,9.310000,9.320000,1.898870,0
1989-09-01,9.360000,9.400000,9.300000,9.300000,1.908484,0
1989-10-01,9.310000,9.500000,9.310000,9.470000,1.956917,0
1989-11-01,9.470000,9.500000,9.420000,9.470000,1.969251,0
1989-12-01,9.490000,9.510000,9.430000,9.440000,1.977826,0
1990-01-01,9.430000,9.430000,9.200000,9.230000,1.954399,0
1990-02-01,9.240000,9.260000,9.150000,9.200000,1.954713,0
1990-03-01,9.170000,9.190000,9.110000,9.140000,1.962948,0
1990-04-01,9.140000,9.180000,8.990000,8.990000,1.944957,0
1990-05-01,8.990000,9.180000,8.980000,9.180000,2.000978,0
1990-06-01,9.250000,9.290000,9.200000,9.260000,2.033271,0
1990-07-01,9.260000,9.310000,9.200000,9.310000,2.059181,0
1990-08-01,9.340000,9.340000,9.040000,9.130000,2.034007,0
1990-09-01,9.110000,9.150000,9.060000,9.130000,2.049062,0
1990-10-01,9.170000,9.210000,9.090000,9.200000,2.079854,0
1990-11-01,9.230000,9.340000,9.220000,9.340000,2.126796,0
